PAÍS,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021 r/,2022 p/,2023 p/
Portugal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,-2.8,0.5,0.0,0.1,0.002852690270290087,-0.01454270432599606
Reino Unido,15.7,11.0,0.6,-2.9,60.9,48.4,44.2,102.9,72.4,-87.8,109.1,84.6,93.5,97.3,127.1,63.7,-0.1,-20.0,1.3,-0.4,1.6,-2.9,5.902980243970221,3.320001636553011
Suecia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3,4.4,-2.7,-0.7,5.6,-1.955546122667584,-5.896169937941798
Suiza,-3.9,2.3,-0.6,0.1,23.7,23.4,6.9,13.9,-0.6,22.6,24.9,68.1,85.7,2.6,18.7,-3.7,39.1,-13.4,6.8,-3.4,-36.5,28.2,-26.17575579263493,78.64249755003291
Asia y Oceanía,0.0,0.0,0.0,0.0,20.5,24.0,21.5,16.7,5.0,18.7,13.1,-21.5,5.2,13.5,13.8,4.6,16.4,53.9,-0.8,4.6,-9.1,50.4,27.191563957087975,23.378137444857572
China,0.0,0.0,0.0,0.0,-0.5,0.1,0.0,0.1,0.6,0.8,1.1,0.0,0.0,0.0,-0.5,0.1,11.0,18.7,-20.4,5.2,-4.4,0.1,-0.6142505149756515,-0.011470478062499234
Corea del Sur,0.0,0.0,0.0,0.0,16.8,17.5,10.9,10.9,3.3,16.9,3.1,-21.5,5.2,13.5,14.3,4.5,1.1,10.9,-3.0,3.1,-1.5,18.5,-0.12889668336609095,-1.4672741728963667
Filipinas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,15.1,-4.9,14.0,16.4,20.221634134683274,20.734887511946237
Hong Kong,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3,-0.2,-1.5,-2.1,-2.0,0.8,-0.5391941718872799,-1.744508188639834
India,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1,0.2,2.1,1.2,-1.1,5.9,1.9935145500413711,2.3538034279334563
Israel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.8,9.8,3.0,3.3,14.9,9.010540630142206,5.832570771033789
Japón,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.7,7.0,2.7,1.0,8.0,2.6940009507959846,5.306074793087202
Nueva Zelanda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,-3.1,-1.7,-0.7,-5.1,-2.2822879482811955,3.9767278989383943
Singapur,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.6,-8.1,-1.8,-12.7,-8.0,-1.1225361886496081,-11.723107015723192
Sri Lanka,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.1,1.4,-0.7,-5.2,0.0,0.0,0.0
Taiwán,0.0,0.0,0.0,0.0,4.2,6.4,10.6,5.7,1.1,1.0,8.9,0.0,0.0,0.0,0.0,0.0,-0.1,0.6,-0.1,0.7,0.1,-1.1,-2.0409608014150336,0.12043289724038309
Otros Países,51.3,79.5,79.1,124.2,39.1,17.1,22.9,-10.2,4.0,47.2,22.3,0.8,0.0,0.2,4.7,15.0,-14.6,0.0,0.0,0.0,0.0,0.0,16.221434135096526,-3.752221004218269
Total,381.7,304.2,275.2,402.8,546.7,599.8,669.1,927.5,1006.4,508.8,969.2,1014.4,1058.5,1059.7,1417.4,1203.5,1139.4,1175.8,961.3,498.1,418.6,738.7,920.2944521493761,1076.3760356141447
Fuente: Banco Central de Honduras.,,,,,,,,,,,,,,,,,,,,,,,,
